"","Up-regulated","Down-regulated"
"P1088-01-D251-U133Plus-2.CEL",0.351380575945793,-0.295273084934043
"P1092-01-D262-U133Plus-2.CEL",0.161549240181567,-0.175627352418247
"P1093-01-D394-U133Plus-2.CEL",0.487703846861771,-0.457612444356733
"P1094-01-D451-U133Plus-2.CEL",0.254926428434932,-0.231811222675969
"P1100-01-D431-U133Plus-2.CEL",0.500210144672463,-0.429961902857657
"P1101-02-D459-U133Plus-2.CEL",0.438099880280486,-0.3273862635893
"P0111-01-A403-U133Plus-2.CEL",-0.300496110759612,0.236908689176867
"P1112-01-D320-U133Plus-2.CEL",0.561090684076479,-0.509898434654804
"P1113-01-D323-U133Plus-2.CEL",0.182410805300713,-0.234655787502047
"P1114-01-D342-U133Plus-2.CEL",0.293780378037804,-0.206180834049533
"P1116-00-D453-U133Plus-2.CEL",-0.168443020772666,0.196686535208643
"P1117-00-D346-U133Plus-2.CEL",0.261414441147379,-0.266007368873573
"P1118-00-D465-U133Plus-2.CEL",-0.137747187214249,0.17986156638603
"P1119-01-D487-U133Plus-2.CEL",0.157435456814369,-0.241254367202082
"P1120-01-C865-U133Plus-2.CEL",-0.193743575099943,0.191167819338377
"P1121-01-D491-U133Plus-2.CEL",-0.187915359189992,0.25150516959913
"P1122-00-D443-U133Plus-2.CEL",0.275236653508604,-0.282267904161506
"P1130-03-D440-U133Plus-2.CEL",0.254596702712285,-0.160275542192218
"P1132-03-D485-U133Plus-2.CEL",0.51570846109782,-0.466264119667025
"P1138-02-D405-U133Plus-2.CEL",0.23545042189914,-0.235844738287407
"P1139-01-D229-U133Plus-2.CEL",0.207428227303242,-0.19177204372961
"P1140-01-D331-U133Plus-2.CEL",0.295225250842913,-0.331070547855508
"P1141-01-D334-U133Plus-2.CEL",0.300835061653908,-0.256752889661712
"P1142-01-D343-U133Plus-2.CEL",-0.210434887251454,0.17004514271299
"P1143-01-D215-U133Plus-2.CEL",-0.20717067919358,0.237302687676868
"P1144-01-D361-U133Plus-2.CEL",0.209321189018803,-0.155657863057542
"P1145-01-D422-U133Plus-2.CEL",0.215057480736742,-0.277481198819824
"P1146-01-D263-U133Plus-2.CEL",0.533634555424148,-0.476820030988251
"P1164-01-D505-U133Plus-2.CEL",-0.178976697061804,0.229139625698032
"P1165-01-D454-U133Plus-2.CEL",-0.22223131660709,0.0835729542857836
"P1166-01-D468-U133Plus-2.CEL",0.201337875385376,-0.185713659970246
"P1167-01-D486-U133Plus-2.CEL",0.304038799440599,-0.268207345836198
"P1169-01-D553-U133Plus-2.CEL",0.294524159620961,-0.282548529545644
"P0117-01-A315-U133Plus-2.CEL",0.267292524458883,-0.233521294903555
"P1173-01-D516-U133Plus-2.CEL",-0.18135608978616,0.320938812560149
"P1176-01-D600-U133Plus-2.CEL",0.172559722166459,-0.233829612914606
