"","Signature","1y","1.5y","2y","2.5y","3y","3.5y","4y","4.5y","5y"
"1","EMC","1","1","0","1","1","1","1","1","1"
"2","UAMS70","1","1","1","1","0","1","1","0","0"
"3","GPI","1","0","0","0","0","0","0","0","0"
"4","UAMS17","1","1","1","1","1","1","1","1","1"
"5","UAMS80","1","0","0","1","1","0","0","1","1"
"6","HM19","0","1","1","1","0","1","1","0","0"
"7","IFM15","1","1","1","1","1","1","1","1","1"
