"streed_initial_loss","streed_initial_loss01","streed_super_loss","streed_super_loss01","forest_loss","forest_loss01"
0.692406311637081,0.632396449704142,0.692406311637081,0.632396449704142,0.717554240631164,0.699605522682446
0.692737752161383,0.714121037463977,0.696311239193084,0.714121037463977,0.703976945244957,0.730893371757925
0.586186852673853,0.61863242443458,0.586186852673853,0.61863242443458,0.66576833650391,0.6356478545762
0.633559025881839,0.684558261439336,0.633559025881839,0.684558261439336,0.6621164136726,0.68848968002621
0.721913105244466,0.634367230969575,0.721913105244466,0.634367230969575,0.70853557476027,0.663667574286729
0.681955211024978,0.688038329026701,0.681955211024978,0.688038329026701,0.692614125753661,0.675602928509905
0.660121032481166,0.6428924292948,0.660121032481166,0.6428924292948,0.63764357169322,0.640360627392862
0.687154696132597,0.677645558861029,0.687154696132597,0.677645558861029,0.702879303017425,0.663195920101997
0.576842453662842,0.629192409532215,0.576842453662842,0.629192409532215,0.654512356575463,0.610326566637246
0.641992294991745,0.64105668684645,0.641992294991745,0.64105668684645,0.671766648321409,0.643093010456797
0.711972756601745,0.734078145537101,0.711972756601745,0.734078145537101,0.767236228940136,0.743756721233122
0.656253543485656,0.591733756661753,0.656253543485656,0.591733756661753,0.632838190271006,0.620705295384964
0.66074305275876,0.651731776077326,0.66074305275876,0.651731776077326,0.660088602496979,0.638743455497382
0.714836325237592,0.706071805702218,0.714836325237592,0.706071805702218,0.754487856388596,0.642977824709609
0.665227581102751,0.67620574811891,0.665227581102751,0.67620574811891,0.682373257678549,0.662390526705316
0.633578696687595,0.598614418705347,0.633578696687595,0.598614418705347,0.649382983329725,0.647380385364798
0.628820055941158,0.655340308712317,0.628820055941158,0.655340308712317,0.661763182430332,0.63223868227494
0.669430693069307,0.666831683168317,0.669430693069307,0.666831683168317,0.718069306930693,0.655816831683168
0.717704051673517,0.726903503621061,0.717704051673517,0.726903503621061,0.733509493051478,0.718095517713838
0.652103183825238,0.704740878456891,0.652103183825238,0.704740878456891,0.681036486172438,0.692249593306995
0.684590438330369,0.664975415838477,0.684590438330369,0.664975415838477,0.652474108170311,0.675436761167486
0.677084483710657,0.689453340695748,0.677084483710657,0.689453340695748,0.694643843180563,0.693152954168967
0.643659440637987,0.653936875210603,0.643659440637987,0.653936875210603,0.679883185443109,0.660339211501741
0.707391569945021,0.688047240887803,0.707391569945021,0.688047240887803,0.690388922826308,0.69283241702301
0.638202365863963,0.661068863540346,0.638202365863963,0.661068863540346,0.644486692015209,0.666666666666667
0.691134952004517,0.69553924336533,0.691134952004517,0.69553924336533,0.725465838509317,0.704347826086957
0.646858965469422,0.703647205658022,0.646858965469422,0.703647205658022,0.716682845652475,0.668908611843018
0.645867098865478,0.67959886547812,0.645867098865478,0.67959886547812,0.657009724473258,0.655237034035656
0.662215058715174,0.67746949113516,0.662215058715174,0.67746949113516,0.690018420446696,0.679196408012894
0.686023940472339,0.659710988892484,0.686023940472339,0.659710988892484,0.695028577590855,0.673676264423595
0.649844637308475,0.651612557591343,0.649844637308475,0.651612557591343,0.645076609878924,0.652201864352298
0.681955189390134,0.626293579825178,0.681955189390134,0.626293579825178,0.701095147191801,0.661559328845574
0.667019774011299,0.651281275221953,0.667019774011299,0.651281275221953,0.707526230831316,0.6579398708636
0.706498718091629,0.675064095418571,0.706498718091629,0.675064095418571,0.695240218481775,0.664641623007469
0.686485846263177,0.697264005685183,0.686485846263177,0.697264005685183,0.697856212246832,0.67327963993841
0.654564032697548,0.69550408719346,0.654564032697548,0.69550408719346,0.674523160762943,0.674591280653951
