"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"A2M",409.152016704077,-2.89674781975574,0.492440124850428,-5.88243661223908,4.04270186028773e-09,7.4242383549038e-07
"ABCA8",32.6877913306802,-2.29468603860498,0.62255027844031,-3.68594492376409,0.00022785562825488,0.00313654820195333
"ABCC3",41.7677481341014,-1.87524192288307,0.523801446668858,-3.58006251187118,0.000343512019557357,0.00425833224244195
"ABHD13",1280.8307946239,-0.635823468329625,0.17632130079873,-3.60605023584426,0.000310892976500384,0.0039481021537711
"ABLIM3",28.6109772402403,-1.69505481375855,0.507832539555292,-3.33782237594091,0.000844377082795834,0.00827908090124924
"AC004825.2",51.5746751949931,-1.30563389810688,0.340760124081509,-3.83153369727784,0.000127346928268824,0.00203164352681872
"AC008035.1",19.4409433538873,-1.34053793245654,0.329717661570851,-4.06571466651168,4.78854939451018e-05,0.000941058551633869
"AC008592.1",62.5805266548862,-1.81032933767412,0.549279767695158,-3.29582381173526,0.000981335384299284,0.00928686173551491
"AC008957.1",80.0733146790562,-1.06754764007594,0.299509139000103,-3.56432409254654,0.000364794998003843,0.00444150593820561
"AC009078.3",31.2190350218245,-1.74354770338617,0.516786687226731,-3.37382472590906,0.000741315532632392,0.00749886607161994
"AC009812.1",249.867742969767,-1.02624180617691,0.312230137052911,-3.28681214396354,0.00101328404747527,0.0095246606900594
"AC009812.4",100.079757915451,-1.6984063744947,0.469748559402694,-3.61556483888805,0.000299693449138734,0.00384613638041374
"AC012181.1",532.106973338968,-0.945047197884307,0.269239706861476,-3.51005878330767,0.000448007639631708,0.00514699685985974
"AC012181.2",390.994184263207,-0.934191945123623,0.2661291673056,-3.51029522461503,0.00044760942439357,0.00514567043911193
"AC016831.2",54.2361751871434,-1.94078003709923,0.533305838724948,-3.63915017645285,0.000273539252076667,0.00361055599927658
"AC020659.1",33.5802262976321,-4.02390863864635,0.752311818916504,-5.34872447496793,8.8576266696566e-08,7.42816083568713e-06
"AC022400.7",576.247758676116,-0.782322808463004,0.222142637143702,-3.52171387952385,0.000428766639773081,0.00497938437178719
"AC022726.2",84.3738496861811,-2.44615821317431,0.465830680010183,-5.25117455364004,1.51132372448307e-07,1.12257425053644e-05
"AC024940.1",1277.63834563713,-2.29582121632517,0.671972776217223,-3.41653902893087,0.000634225719527569,0.0066676138902153
"AC026202.3",26.663607476489,-1.30191966028632,0.380263876415295,-3.42372689343878,0.00061768663502717,0.00653911207616075
"AC063950.1",55.6704708948549,-1.64156334765796,0.382600203007328,-4.29054489452668,1.78235248001245e-05,0.000442500005883582
"AC067945.1",11.190451923287,-1.69573802364124,0.507354311065031,-3.34231519602459,0.000830826584703783,0.00818591347506196
"AC068792.1",85.7548071045211,-1.18658481064523,0.232960772321927,-5.09349620890465,3.51520082934121e-07,2.09784961357422e-05
"AC078883.1",598.392468008932,-0.992483481231568,0.256299115475073,-3.87236405163518,0.000107784797857343,0.00180007998327285
"AC079340.2",20.1736682797924,-1.46811756335381,0.40308198150769,-3.64223068930657,0.000270285686642014,0.00357201083915132
"AC083805.1",43.3557194962672,-1.96966957502561,0.50601033487773,-3.89254811465767,9.91968181268643e-05,0.00169341810156911
"AC087280.1",9.45774234194963,-1.79344851482536,0.49516809432947,-3.62189837221632,0.000292449016993726,0.0037803642736106
"AC087280.2",169.835438023721,-1.3119146106556,0.295123990379867,-4.44529978388735,8.77693892596882e-06,0.000266204557624634
"AC096733.2",182.216064814715,-1.28158755245558,0.265028800134994,-4.83565390554834,1.32708647937702e-06,6.06791953560376e-05
"AC099524.1",117.421035855379,-1.420574066996,0.330125936198117,-4.30312771954845,1.68403705069887e-05,0.000427421286591605
"AC104623.2",485.237840407049,-1.6140756373163,0.454541028913732,-3.55100097602552,0.000383768993744904,0.00459462378169063
"AC104964.3",31.2361083660153,-1.43460705379191,0.404333423152243,-3.54807931188943,0.000388051351771323,0.00463674228465826
"AC104971.1",35.9950186212692,-1.2148398860225,0.347402647168602,-3.49692178779776,0.00047065980030771,0.00533316752552908
"AC105105.1",18.1922590943889,-2.32013922811227,0.658112934981454,-3.52544237438161,0.000422776146494298,0.00493434325317879
"AC107067.1",10.2600836569914,-2.17745511620944,0.458208827213352,-4.75210206981799,2.013126962572e-06,8.38326875626666e-05
"AC114811.2",24.7523920768478,-2.57196751088917,0.534092362534628,-4.81558563893977,1.4676880080468e-06,6.54632018883228e-05
"AC116366.2",49.8082297943077,-1.39218816880576,0.419413379189729,-3.31936995308864,0.000902208165171568,0.00871926935198736
"AC123777.1",30.5058959164883,-2.79521472483335,0.597939218157746,-4.67474726519097,2.94315840042361e-06,0.00011275704541244
"AC127029.3",18.6905598445419,-2.07651837046422,0.576704918812775,-3.60066006501039,0.000317410349255329,0.00400570980287689
"AC134669.1",308.632972081653,-0.860235191464897,0.233818580757714,-3.67907113573786,0.000234084973942023,0.00320291605699017
"AC135626.1",10.9239001631876,-1.68215779693325,0.514425168225948,-3.26997569487971,0.00107556725416832,0.00995583565175746
"AC135782.3",18.6219677126461,-1.65009218330226,0.465731545408069,-3.5430114184266,0.000395585573817268,0.00470206810733289
"AC139768.1",32.0267429083858,-0.985634115337257,0.257785373435728,-3.82346795786302,0.000131587698973801,0.00207867443222676
"AC139769.1",773.916172814202,-2.96728778725587,0.726057263984672,-4.08685090618213,4.37267919985017e-05,0.000872522106127997
"ACVRL1",21.3871533629538,-2.8724298124814,0.621926044765912,-4.61860350865763,3.86331252374538e-06,0.000140609122614237
"ADA2",19290.4504278926,-1.59149550171484,0.239549134839317,-6.64371216695219,3.05879639617493e-11,1.68678717629065e-08
"ADGRL2",1134.75030357112,-3.22663000885467,0.694785521914563,-4.64406627237038,3.4161790001008e-06,0.000127392675089825
"ADHFE1",141.993449053165,-1.42586028277277,0.423278362321354,-3.3686113198724,0.000755478825065211,0.00759989146408884
"AF127936.2",248.862107408254,-1.65711275231523,0.467615903305182,-3.54374763690135,0.000394482647886867,0.00469202302368968
"AGR2",199.763079594959,-4.27284729195005,0.867058362912058,-4.92798117718337,8.30836190060224e-07,4.11977029610789e-05
"AHSP",141.398113154524,-2.99204557037164,0.712616146015217,-4.19867776937481,2.68478042563283e-05,0.000616111402089107
"AIG1",2136.24884627324,-0.725615094951606,0.207812613534229,-3.49167975230767,0.000479993371450944,0.00540527188964374
"AK4",100.40040815364,-1.20694581117699,0.354543930144601,-3.40422077084985,0.000663531013020953,0.00688422883406802
"AKAP12",544.808996522367,-2.47429558685021,0.532471386997136,-4.6468141711876,3.37100576325075e-06,0.000126485696659046
"AL008638.3",16.0716273126759,-1.66598716485059,0.485791128610107,-3.42943101825908,0.000604848161795081,0.00644439511027335
"AL035563.1",202.092512621988,-0.897751866481639,0.269459197454258,-3.33168017630586,0.000863233998418643,0.00840060550974464
"AL078590.3",29.8887194461786,-2.27948749412234,0.464486652610699,-4.90754143592766,9.22251751598048e-07,4.53598307448143e-05
"AL118516.1",552.13547960691,-1.27520895278221,0.318410159983301,-4.00492544851297,6.203704318376e-05,0.00116027760725392
"AL136038.5",23.2318666930022,-1.41284554938537,0.396268811895239,-3.5653715532851,0.000363341078010585,0.00443763821317894
"AL139099.1",222.875746106356,-1.76654548523486,0.424582587993826,-4.16066399138476,3.17323663434459e-05,0.000693236017668702
"AL139246.5",84.9867784038273,-1.33407315490089,0.406289026352929,-3.28355694682736,0.00102505932653664,0.00961052530876546
"AL158211.4",22.9761256353295,-1.22461869934935,0.337397949044474,-3.62959734289295,0.000283863670944502,0.00371102807747704
"AL160408.2",43.4610987098841,-1.56305895541963,0.438347000674353,-3.56580278412997,0.000362744087249359,0.00443332229668491
"AL161421.1",97.5085470283049,-1.13008550517766,0.311424377024761,-3.62876379804978,0.000284781651284187,0.00372035641785329
"AL162151.2",861.198935286189,-0.729636904719172,0.218127525588616,-3.34500152032739,0.000822821193555993,0.00812022780929065
"AL162377.3",18.0710706115271,-1.70271570519966,0.482146427180457,-3.53153235036288,0.000413159320951149,0.0048570241102513
"AL591845.1",18.1871330667389,-1.54435352565628,0.43807616004753,-3.52530830595466,0.00042299018985377,0.00493434325317879
"ALAS2",353.085561980559,-2.9676642950704,0.653892212796408,-4.53846098331559,5.66662776162295e-06,0.00018886683517585
"AMD1",7969.40296840325,-0.659109520445069,0.169484738166644,-3.88890190099008,0.000100698807521579,0.00171263261614738
"AMFR",2457.26874090484,-0.857851607267887,0.195191902702675,-4.39491390467464,1.10816665451528e-05,0.000315868815466303
"AMPD1",3299.33839889124,-1.20135633643487,0.354055232464998,-3.39313255751315,0.000690981917717802,0.00710824699752887
"AMPD3",1234.19093030967,-1.62478233243999,0.431617041484695,-3.764407278385,0.000166944598609312,0.00246841950127143
"ANGPTL4",21.03613425262,-2.55630983537623,0.682109256093945,-3.747654518009,0.000178495877880498,0.00259305105776764
"ANKRD42",645.133256168231,-0.721970727485458,0.210847445254222,-3.42413789560014,0.00061675316770751,0.00653679332902811
"ANKRD53",116.027765667963,-1.82114322623383,0.434474854848962,-4.19159637412601,2.76998475328973e-05,0.000629047184979979
"AP000646.1",198.224660946337,-1.29674190832831,0.351077164118275,-3.69360938523317,0.000221093340023756,0.00305966281502077
"AP001330.5",36.5312057059582,-1.40347344180708,0.410879712425546,-3.41577692780681,0.000636003241945386,0.00667473298553756
"AP006287.2",16.5045165025271,-1.53239469648028,0.412978700632054,-3.71059014456432,0.000206776647962001,0.00289233008425249
"APH1B",723.736728791081,-1.05992392622941,0.295835037580277,-3.58282080073692,0.000339903794354087,0.00422223156973084
"APOC1",62.3231280990819,-2.75032912574206,0.57673775724969,-4.76876897891627,1.85355069367159e-06,7.77594682572448e-05
"APOE",341.668444952637,-2.26852354279693,0.45782056225685,-4.95504948841556,7.2311882098928e-07,3.72785164429544e-05
"APOM",80.682409403058,-0.739736981388891,0.208274933915926,-3.55173312256337,0.000382702810053218,0.00458789574265379
"ARHGAP29",62.488439036695,-1.05048230517606,0.293183972243952,-3.58301409567497,0.000339652271860493,0.00422198910062654
"ARID5B",17610.0894786915,-1.34419126678821,0.300941604880386,-4.46661825746053,7.94657436468911e-06,0.000245520815430582
"ARL5B",4001.62875600261,-0.76834457599579,0.195376765320791,-3.9326302425687,8.40214289680854e-05,0.00147588992698959
"ARMCX1",41.8928806240819,-2.02590808537437,0.58801664454753,-3.44532438691982,0.000570374452730296,0.00617837755403925
"ARRB1",79.0570560160199,-1.44822119570214,0.439807225759247,-3.29285448460299,0.000991757892386344,0.00936585891315344
"ARSA",2149.66428138572,-0.817674056722524,0.187257957296928,-4.36656507699681,1.26215694952244e-05,0.000346959700414038
"ATF4",20830.5164738706,-0.584385798943877,0.175165649572914,-3.33618948902777,0.000849352505418356,0.00831442544034601
"ATP2B1",4679.78728869078,-1.00235653664666,0.255457914869573,-3.92376386990563,8.71761841806975e-05,0.00152688373409079
"ATP2B1-AS1",503.789726600889,-1.21645753615431,0.31389994973849,-3.87530337984361,0.000106491938664081,0.00178590304122958
"ATP6V1G1",3299.15304270441,-0.501900443014215,0.137218340492362,-3.65767754669904,0.000254510953791066,0.00341562709224913
"ATXN1",7422.91080634632,-0.660177966234315,0.156313146076145,-4.2234321476245,2.40609831680767e-05,0.000564254860428685
"AXL",211.178601492363,-2.99775894069035,0.53437557154982,-5.60983529242573,2.02519267593606e-08,2.33256052637243e-06
"AZIN1-AS1",91.0412776431444,-0.83424059883203,0.245214007036388,-3.4020919478235,0.00066872134976639,0.00693225709336414
"B2M",258387.88056235,-0.683070978888051,0.202694982003908,-3.36994518628429,0.000751831374231418,0.00757157019826416
"B4GALT4",1040.65261148704,-0.636335547117628,0.145315818117026,-4.37898334374839,1.19234243633393e-05,0.000333306415612979
"BACE1",84.6665775252734,-2.26426557933158,0.503511012463027,-4.49695343951955,6.89340761762026e-06,0.000220081108465708
"BACH1",15690.4875026772,-1.03281360977804,0.214274253815448,-4.82005463273058,1.43518913092459e-06,6.44878316162115e-05
"BAZ2B",5303.74473592306,-0.629944372345393,0.179797996318974,-3.50362287256988,0.000458974855955881,0.00523007165227622
