"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AACS",578.972150211488,1.00072887884944,0.181445341256842,5.51531867347796,3.48148533157221e-08,3.6203468607972e-06
"AARSD1",231.541243951053,0.649614154877705,0.161755129783472,4.01603433379387,5.91856369980966e-05,0.00111844259822571
"ABCB6",270.373297472698,0.963645901041066,0.232323534579442,4.14786174282982,3.35594951718393e-05,0.000719335327605573
"ABCB8",789.181169132302,0.619861010987486,0.178605680333981,3.47055597463857,0.000519382078221646,0.00575960064985484
"ABCC10",654.236066805334,0.684052801631293,0.171026843972348,3.9996809023845,6.34279480079704e-05,0.0011825367455305
"ABCD3",515.659082266003,0.67334612147333,0.204622917135435,3.29066817588011,0.000999497369776733,0.00942916181192172
"ABCF2",834.06232956039,0.67150112858615,0.193698605483766,3.46673186886949,0.000526827132630413,0.00582100799004751
"ABHD11",284.602894481286,0.742314210829762,0.212516793142163,3.4929673079209,0.000477684985800521,0.00539563485279145
"ABHD17C",251.043056672131,1.40012302524835,0.334813512665197,4.18179963557334,2.89210786472498e-05,0.000647362594369805
"AC000123.2",19.8946991497047,1.2764296086988,0.369146776085304,3.45778343843327,0.000544638995712458,0.00597428598190193
"AC002310.1",49.3773624087608,1.00164955165038,0.285872254236155,3.50383619539004,0.000458607360765906,0.00522915836542478
"AC004951.1",413.433575521745,1.18001670749301,0.261792883746842,4.50744378763981,6.56133057737909e-06,0.000212083648041109
"AC005329.1",31.9205200936151,1.44225929727771,0.433881533790726,3.32408545871269,0.000887090077374703,0.00859598787436893
"AC006064.2",19.9974614248248,1.86898238591286,0.409037515234349,4.5692199769062,4.89542756864326e-06,0.000168725361541989
"AC006330.1",48.0271013144278,1.50256716464721,0.349375446507434,4.30072341851085,1.70241434249082e-05,0.000429688435570708
"AC007240.1",22.8773369397583,2.93599518734288,0.547764194492761,5.35996185377115,8.32395263882698e-08,7.0455483777383e-06
"AC008013.2",26.0844586753497,2.58644503900799,0.466240462947324,5.54744867628574,2.89868209125818e-08,3.08579055993423e-06
"AC008937.3",21.5948119068104,1.43615793278018,0.356703399560411,4.02619637085054,5.66863542818995e-05,0.00107680404511692
"AC009950.1",34.1005163353517,1.13411028869814,0.334196845041814,3.39353978208933,0.000689955362901873,0.00710453226861111
"AC010435.1",27.3699860089164,1.42065881129604,0.3686532917491,3.853644720099,0.000116372425440858,0.00189587298851099
"AC010969.2",108.964909258148,1.36857503646372,0.244066621654689,5.60738304642088,2.05408722478492e-08,2.33626745728975e-06
"AC011498.7",25.4042270397958,2.57240883710655,0.49173398151551,5.23130174810873,1.68320490000102e-07,1.21070999091773e-05
"AC012073.1",15.5851866070149,1.83865867772447,0.395851271978909,4.64482195177192,3.40369870417178e-06,0.000127206003226534
"AC018442.1",14.8914436058063,1.45262348761553,0.404027482486964,3.59535811443817,0.000323945647593915,0.00407124509317269
"AC018647.2",275.195297020552,0.696991906882195,0.195991697588007,3.55623179685568,0.000376212172100342,0.00453999277711009
"AC022532.1",13.1171901288912,2.35267165392437,0.452039515897632,5.20457077574862,1.94445507739628e-07,1.35575454017079e-05
"AC026401.3",51.1581504581625,1.1883044914301,0.271026893907406,4.38445231134914,1.16277950983984e-05,0.000329086493313615
"AC027796.1",16.5090586464435,2.08571962320238,0.379459057277474,5.49656038827194,3.8727051604851e-08,3.9592971073319e-06
"AC046185.3",177.142616690906,1.18913346779974,0.29944516098617,3.97112267195615,7.15347308444219e-05,0.00130309212403082
"AC060780.1",1607.13677680359,0.957902221395016,0.209069425406767,4.58174225873208,4.61118007274322e-06,0.000160755277708393
"AC068282.1",69.843028106938,1.75174797832383,0.428988981484823,4.08343350046114,4.43751319211952e-05,0.000882555902406459
"AC068491.3",23.0952306656113,2.15559650099058,0.516324609299828,4.17488622886621,2.98135011511389e-05,0.000659229761784235
"AC073529.1",24.2333370636999,1.88696228268419,0.37152741007068,5.07893154458028,3.79563433631002e-07,2.20680363105974e-05
"AC073575.2",20.8915549014654,1.1797242250677,0.325452366603013,3.62487523867581,0.000289100981823284,0.00375758918330732
"AC078846.1",227.078443543568,1.51533615085235,0.265022259118845,5.71776935224455,1.07931506514126e-08,1.41304860111083e-06
"AC079466.1",126.310942915047,1.62387125244757,0.456879500510255,3.55426595116215,0.000379035711074878,0.00456196552257978
"AC087163.3",20.1283721936255,1.78927993125769,0.409579967229088,4.36857286591096,1.25061091713043e-05,0.000344827537423327
"AC087741.1",119.314609681122,1.69275145690632,0.391834674080372,4.32006549925468,1.55982895930547e-05,0.000406672885407462
"AC090286.2",17.5424717555384,1.59314744944929,0.434979510222907,3.66258044806035,0.000249687301642102,0.00337077857216838
"AC091057.1",142.62112452528,1.37128130041556,0.314865194662733,4.35513776581244,1.329832555409e-05,0.000363084436399408
"AC091057.4",35.4864609738626,1.27188036735718,0.338989552516794,3.75197512110397,0.000175446878414676,0.00256654525192145
"AC091152.2",60.0102690978875,0.91952223178099,0.277107880552047,3.31828250408881,0.000905728285728576,0.00873501117413292
"AC092718.4",49.3707486992165,1.03112734131707,0.289650137139038,3.55990627693749,0.000370987173664307,0.00449183272544449
"AC092745.1",31.6161016407691,2.44515632925579,0.530855464196001,4.60606793029636,4.10354387406036e-06,0.000147290515621599
"AC093525.6",94.250738514797,1.51923737841136,0.345827221215143,4.39305319307477,1.11769765823812e-05,0.000317810343509645
"AC096677.1",70.5332891409687,1.30857896106003,0.323809292209611,4.04120262309504,5.31777850867434e-05,0.00102370890061061
"AC099850.1",10.9038864366698,1.8086566425289,0.512929858223153,3.52612859932602,0.000421682155247058,0.00492539914068419
"AC105052.4",43.8624494056858,1.85208634358561,0.360455543963305,5.13818243221183,2.77408506614085e-07,1.72886301485038e-05
"AC106795.1",341.297558360852,0.964906314848709,0.252861902530988,3.81594184489875,0.000135664456445989,0.0021139003130487
"AC112484.1",25.6784542403471,2.09433677089906,0.464292565289243,4.51081263727396,6.45797439954422e-06,0.000209487019826927
"AC116096.1",12.3413550459374,1.51820202601085,0.455062020784364,3.33625298677753,0.00084915852013012,0.00831442544034601
"AC120057.3",31.1868701876204,1.87255670598945,0.44921605959864,4.16849902397194,3.06612073880728e-05,0.000675511685288316
"AC120114.1",19.807687522944,1.80743790368151,0.4305419470253,4.19805297989999,2.69219656000252e-05,0.00061703517630889
"AC120114.3",38.4122390483615,1.17979932611123,0.334033479435754,3.53197927376661,0.000412461682013628,0.00485509552993791
