"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ABCB10",432.036162674046,0.8234173306827,0.186546072698354,4.41401589844333,1.01470502169716e-05,0.000862262187830043
"ABCE1",3420.72727549239,0.676882549650847,0.180963664685473,3.74043347777751,0.000183703162320221,0.00578967418854976
"AC012073.1",15.0402269747274,1.57785196413442,0.394441595886085,4.00021696644312,6.32844355232047e-05,0.00288180962664964
"AC025423.1",30.6963007306927,1.77279417707787,0.477618634404661,3.71173578536694,0.000205842795220958,0.00625961744329953
"AC092718.4",32.4204169084304,1.39936695059364,0.304483925959354,4.59586477737562,4.30958128882391e-06,0.000475406513541637
"AC106882.1",352.789129513362,2.03854985185464,0.44479037868187,4.58316984709932,4.57979740589663e-06,0.000498704286384612
"AC126474.2",148.552345259452,0.795054443117035,0.188459650435714,4.21869849211165,2.45716597251886e-05,0.00152503628703943
"AC138894.1",24.1041586272101,1.91641461041012,0.499950360586414,3.83320977739124,0.000126482003922566,0.00450112571689209
"AC139792.2",23.562172176171,1.65846967682842,0.39893488047428,4.15724409672255,3.22109770409627e-05,0.00183012007061838
"ACAP2",3429.20734828538,0.696823077869693,0.163915519345064,4.25111106412557,2.12712646020364e-05,0.00139645468154524
"ACBD6",719.976455608227,0.595283542745985,0.139823488782444,4.25739300263209,2.06824591949588e-05,0.00138275926639826
"ADSS",1347.9705593107,0.758863420313947,0.169752826154824,4.47040227549331,7.80726112265042e-06,0.000735621987126413
"AHCTF1",2180.8668434179,0.804785539198245,0.170135416479587,4.73026460833806,2.2422738257807e-06,0.000333819039875984
"AIM2",630.418190791405,1.4548173235868,0.320684366496989,4.53660195374838,5.71678589717948e-06,0.000597469836437981
"AL355482.1",28.643987984275,2.15851674273639,0.371605933176668,5.80861754354766,6.29907982923172e-09,8.61958523308136e-06
"AL390728.4",1140.55177749828,0.837059500508996,0.204988305687249,4.08345001780785,4.43719764849087e-05,0.00226071788391705
"AL451074.2",22.570668534832,1.61341564289748,0.431903793117154,3.73559035277989,0.000187275321547622,0.0058713472395802
"AL591030.1",12.3741224237156,2.16821276977287,0.414699189028682,5.22839886629947,1.70984320995836e-07,7.06670426661199e-05
"ALDH9A1",940.653620043298,0.657775015077437,0.168114692624456,3.91265632294741,9.12864072838858e-05,0.00356998562679024
"ALG10",402.529628661557,0.729343056401664,0.196438438963736,3.7128326830998,0.000204952388203858,0.00625345499913954
"ANAPC7",528.963429908197,0.702749150783776,0.191026328747209,3.67880781352263,0.000234326757894443,0.0068729549875975
"ANGEL2",991.660779703514,0.603233649202963,0.156710700044639,3.84934563518083,0.00011843379215928,0.00431955620264302
"ANKRD30BL",14.6476520201477,2.46837771527774,0.556717663462568,4.43380527918835,9.25842529939895e-06,0.000819998966667196
"ANKRD45",53.6561202426266,3.11270060241937,0.857591601611044,3.6295838212174,0.000283878540175192,0.00788142176043643
"ANLN",140.352668925831,1.59310249287204,0.381410548850166,4.17687056027882,2.95547093823949e-05,0.00173371738748017
"ANP32E",2243.34942331869,1.06881346732027,0.207283456190421,5.15628930047561,2.51891625435796e-07,9.34826369091827e-05
"AP1S2",1924.23416507203,1.43614254462464,0.339878127031123,4.22546327758578,2.38449709152434e-05,0.00150562776421424
"APOBEC3B",165.639875448013,1.65042534754217,0.446043370440904,3.70014544978162,0.000215475931804114,0.00647674350389722
"APOOL",928.48969980138,0.721312312078877,0.197054377188088,3.66047343059214,0.000251749659424766,0.00723954734730356
"ARHGAP11A",333.506006849499,1.13320286159821,0.309019467661249,3.66709214204084,0.00024532441189771,0.00711519047904282
"ARNT",892.592428564157,1.1977423147367,0.181651253676082,6.59363638014026,4.29182131076594e-11,1.95116926340697e-07
"ARPC5",1697.53557879086,0.836028738370802,0.202697880029885,4.12450657228158,3.71530384118078e-05,0.00198714118681978
"ASPM",524.241380833762,2.21543757905432,0.36118623808787,6.13378181511817,8.58141926911986e-10,1.95066386761181e-06
"ATAD2",439.05413526247,1.12825146521248,0.265198069861914,4.25437283838436,2.09635751425486e-05,0.00138949679326066
"ATAD5",318.933928495096,1.36218024652571,0.276574940381629,4.9251759564555,8.42844763822008e-07,0.000199141960367738
"AURKA",47.5991413584301,1.72331607134526,0.364931969146901,4.72229406312043,2.33199173503513e-06,0.000333819039875984
"AURKB",42.6959322939711,1.86064029037666,0.386592907724627,4.81291884356555,1.48741703445169e-06,0.00027048678771504
"B4GALNT1",38.853792164336,3.17211269559136,0.616697635297097,5.14370821944724,2.69367792820301e-07,9.42010252391765e-05
"BCLAF3",479.500087607828,0.728212482093436,0.200967276489162,3.62353759684208,0.000290600939646491,0.00801908662742252
"BIRC5",83.8301384222622,1.83332599160815,0.39746146259998,4.61258804719209,3.97685996007491e-06,0.000451994989837264
"BRCA1",280.046019450752,1.45346458368976,0.311947777105848,4.65932021434658,3.17255349530039e-06,0.000384619235413584
"BRIP1",148.894472632916,1.70259455651433,0.326612529626766,5.2128880617653,1.85923095342894e-07,7.37515038364987e-05
"BROX",1786.20043831273,0.999723008391184,0.21617034661439,4.624700029623,3.75140907078898e-06,0.00044012499324063
"BUB1",385.085126283321,1.49613308727475,0.336620093115813,4.4445745155207,8.8065981434175e-06,0.000800739936190237
"BUB1B",163.056856572389,1.46872634817189,0.385691205387196,3.80803691569124,0.000140074365886846,0.00482434155994752
"BX571818.1",175.735558245782,1.62176379488059,0.443752638580803,3.65465724343018,0.000257525791085269,0.00735520597743801
"C12orf49",714.664817215024,0.853970630623236,0.223674027181692,3.81792486764478,0.000134578893880159,0.00467108705690478
"C2CD5",983.61569740631,0.71824407887121,0.174086224173136,4.12579503221856,3.6945620967768e-05,0.00198187645220903
"CACNB1",47.1023671745596,1.93072091359025,0.43385983202046,4.4501029390045,8.58291401120084e-06,0.000784323071827574
"CACYBP",1057.49284053501,0.754120818056573,0.206165026274349,3.65785037202695,0.000254339446330117,0.00728372099450894
"CASP8",1991.85088272677,0.702307261854232,0.192657328405185,3.64537008619358,0.000267007275023387,0.00757492557925163
"CCDC15",52.3807905859734,1.50906165877731,0.393311653016875,3.83680892036158,0.000124643377607173,0.00446188941296544
"CCNA2",97.4403631222604,1.77610876049616,0.401568783239165,4.4229253732563,9.73733825376542e-06,0.000843207124498687
"CCNB1",119.598375653277,1.65624188024778,0.320813156819264,5.16263702108967,2.43495016261348e-07,9.22491014731794e-05
"CCNB2",74.537821896245,1.52323998622126,0.385753791263161,3.94873626836788,7.85648492341658e-05,0.00326799725301662
"CCNF",44.7478870666744,1.55838104385546,0.347326447322971,4.48679061403682,7.23040699415135e-06,0.000692513652535327
"CCT2",1473.88620386855,0.558004277508786,0.147842597126161,3.77431327882191,0.000160449030255323,0.00528580727390045
"CD3E",158.932577684528,2.51300237577581,0.631477943695589,3.97955684892017,6.90438489199446e-05,0.0030098468912628
"CD55",3976.1083289112,1.04676119107389,0.283156654438814,3.69675645853513,0.000218371648295814,0.00653139543463714
"CDC20",51.9014112864748,1.78178199728539,0.421887177312343,4.22336134659588,2.40685463910403e-05,0.00151448621495179
"CDC45",33.1922494874307,1.60342131487074,0.417804316868532,3.83773276180697,0.000124175511985501,0.00445390864981525
"CDC73",2626.66820928229,0.682669442420408,0.178589732682314,3.82255705390847,0.000132074906200827,0.00464406314878265
"CDCA2",52.8691623740439,1.88071627882641,0.411439663939353,4.57106215968431,4.85258301705407e-06,0.000519083659794872
"CDCA5",84.6808891069988,1.43188025646773,0.348027725694345,4.11427064786578,3.88405515247788e-05,0.00205324252755262
"CDCA8",49.3904909360945,1.59697644120718,0.362636795340023,4.40379040882983,1.06375719617272e-05,0.000873297247602833
"CDK1",76.4630797206629,1.83961407303323,0.432826456703723,4.25023481014349,2.13546530883422e-05,0.00139688621011332
"CDKN2C",130.640033985497,2.32808628552956,0.384303215447867,6.05794120878331,1.37874765488856e-09,2.78583623379428e-06
"CDKN3",97.1611463985273,1.16674572837121,0.31068371168666,3.75541325303829,0.000173055694439986,0.00556994301485157
"CENPA",20.0337368056008,1.74010490162907,0.366935939593302,4.74225801800101,2.11349204581724e-06,0.000332515305514546
"CENPE",190.040673592709,1.97560794093982,0.350612057914531,5.63474043845183,1.75322196741018e-08,1.32843089488976e-05
"CENPF",322.037326804395,2.18374009669426,0.377231103440584,5.78886543759827,7.08634368273748e-09,8.61958523308136e-06
"CENPH",143.542217284999,1.08710548385205,0.251803973880391,4.31726897355652,1.57971612013792e-05,0.00114450747588478
"CENPI",31.1165707025906,2.03548424123259,0.465190883407233,4.37558927708113,1.21104861570268e-05,0.000949263753299705
"CENPK",116.679097789556,1.48247112156924,0.346238321781781,4.2816494544575,1.85513062341132e-05,0.00128272054702414
"CENPL",101.321076014553,0.873873839881892,0.231195866194982,3.77979872332536,0.000156955185875713,0.00519644310394361
"CENPN",205.994907759587,0.917862254557866,0.208117503331204,4.41030783027007,1.03223775427059e-05,0.000866822904871092
"CENPU",325.394148235391,1.08579494893881,0.28712685259792,3.781586219173,0.000155832230893774,0.00518063824278478
"CENPW",37.39625236795,1.24154834886096,0.347353523794126,3.57430762555563,0.0003511558816464,0.00908749362763953
"CEP135",434.221163446582,0.780473980378161,0.20876916006324,3.73845437775264,0.000185155083758815,0.00581527668074966
"CEP170",1137.16766655098,0.706819346148717,0.182000885022288,3.88360389600391,0.000102919524166078,0.00387493073904787
"CEP55",94.9709012063909,1.75011694670464,0.441782818880473,3.96148711971105,7.44844007505424e-05,0.00314999727360143
"CERNA2",357.231780249906,2.19154598236702,0.423667922303176,5.17279186598118,2.30621859320501e-07,8.92310321647511e-05
"CFAP47",62.6958482764227,2.50296507516715,0.698150515450701,3.5851367574388,0.000336901617950983,0.00878989371942415
"CFAP69",62.4891474559448,1.6350214015109,0.362862035702957,4.50590373375226,6.6091047097234e-06,0.000653187875795217
"CHAF1A",296.527107099828,0.909932349355968,0.206349202095511,4.4096722454725,1.03527186565689e-05,0.000866822904871092
