"","MMRF","Gamer1","Gamer2","Gamer3"
"PIGA",1,0,0,0
"TGFB3",1,0,0,0
"DAAM2",1,0,0,0
"MTND3P23",1,0,0,0
"PP2D1",1,0,0,0
"PRKCA",1,1,0,0
"LINC02033",1,0,0,0
"LZTS3",1,1,0,0
"CABP7",1,0,0,0
"CASTOR1",1,0,0,0
"EPB41L4A",1,0,0,0
"NAV3",1,0,0,0
"LINC00598",1,0,0,0
"RPL21P16",1,1,0,0
"BAG3",1,0,0,0
"STARD13-AS",1,0,0,0
"MAN2A1-DT",1,0,0,0
"PTPN1",1,0,0,1
"TMEM243",1,1,0,0
"SSR4",1,1,0,1
"SRC",1,0,0,0
"RPS16P5",1,0,0,0
"CD36",1,0,0,0
"EPB41L4A-DT",1,0,0,0
"MSMP",1,0,0,0
"SLC4A8",1,0,0,0
"TPT1-AS1",1,0,0,0
"KIF6",1,0,0,0
"SLIT1",1,0,0,0
"MLLT3",1,0,0,0
"DERL3",1,1,0,0
"EEF1G",1,0,0,0
"NPM1P37",1,0,0,0
"PNPLA7",1,0,0,0
"SYNPO2",1,0,0,0
"DPH7",1,0,0,0
"PRDX3P1",1,0,0,0
"LRRTM2",1,0,0,0
"FEM1C",1,1,0,0
"LINC00571",1,1,0,0
"PLEKHB1",1,0,0,0
"CDNF",1,0,0,1
"LTBP1",1,0,0,0
"RBM26-AS1",1,0,0,0
"CD24",1,0,0,0
"FGD6",1,0,0,0
"GAPDHP42",1,0,0,0
"RGS17P1",1,0,0,0
"SIGLEC15",1,0,0,0
"PCDH9",1,0,1,0
"NCOA7",1,1,0,0
"PRKCE",1,0,0,0
"MAP3K8",1,1,0,0
"FCHSD2",1,0,0,0
"ANKRD20A9P",1,0,0,0
"VASN",1,0,0,0
"FBXW4P1",1,0,0,0
"CD68",1,1,0,0
"ARMC2",1,0,0,0
"SHBG",1,0,0,0
"AFF4",1,0,0,0
"CNTN4",1,0,1,0
"FAM13A",1,1,0,0
"ZNF629",1,0,0,0
"CFP",1,0,0,0
"CLIC3",1,0,0,0
"SLC3A1",1,0,0,0
"SAT2",1,0,0,1
"OCSTAMP",1,0,0,0
"FCHSD1",1,0,0,0
"UAP1L1",1,0,0,0
"MAN1B1-DT",1,0,0,0
"ALAS2",1,1,0,0
"NRARP",1,0,0,0
"MYO1C",1,0,0,0
"TSPAN15",1,0,0,0
